,compare,frequency,seed,human_seed,updates,utility,position
0,position,5,1111,100,199,0.0094999709999999,1.9313291530000012
1,position,10,1111,100,99,0.0182499479999999,3.338947193999997
2,position,20,1111,100,49,0.036249929,6.558904476999998
3,position,30,1111,100,33,0.037833264,7.078192341000003
4,position,40,1111,100,24,0.0578332600000002,12.429120584000016
5,position,60,1111,100,16,0.0629999340000003,14.036242411000003
6,position,100,1111,100,9,0.095666599,25.615870023999992
7,position,5,2222,100,199,0.0099166389999999,1.9642565710000008
8,position,10,2222,100,99,0.0172499539999999,3.4436959929999973
9,position,20,2222,100,49,0.035666611,6.872567796000001
10,position,30,2222,100,33,0.037666609,7.320753487000005
11,position,40,2222,100,24,0.0512499350000002,13.87363520700001
12,position,60,2222,100,16,0.0575832720000002,13.788678276999995
13,position,100,2222,100,9,0.0939999329999999,25.23034675399999
14,position,5,4444,100,199,0.0087499729999999,1.864609639
15,position,10,4444,100,99,0.0186666219999999,3.2730308409999984
16,position,20,4444,100,49,0.035166608,6.210991630999997
17,position,30,4444,100,33,0.036583264,7.160618401000002
18,position,40,4444,100,24,0.0506665850000002,12.483107696000006
19,position,60,4444,100,16,0.0552499220000002,11.97555819399999
20,position,100,4444,100,9,0.086499927,21.703975560000032
21,position,5,5555,100,199,0.0098333039999999,2.0254680879999998
22,position,10,5555,100,99,0.0193332809999999,3.535709004999998
23,position,20,5555,100,49,0.035416603,6.892042094999994
24,position,30,5555,100,33,0.038166604,8.019721476000003
25,position,40,5555,100,24,0.0537499290000001,14.099671820999994
26,position,60,5555,100,16,0.0589165900000002,14.174512885999992
27,position,100,5555,100,9,0.0958332700000001,26.029780496000004
28,position,5,6666,100,199,0.0099999679999999,2.0330630539999985
29,position,10,6666,100,99,0.0208332799999999,3.620829606999999
30,position,20,6666,100,49,0.0395832650000001,7.215806597999996
31,position,30,6666,100,33,0.041166598,7.965398148000001
32,position,40,6666,100,24,0.0562499290000002,13.340158621
33,position,60,6666,100,16,0.0658332720000003,14.362473440000008
34,position,100,6666,100,9,0.0960832709999998,24.03244172300004
35,s_s,5,1111,100,199,0.0114999689999999,3.115137998999999
36,s_s,10,1111,100,99,0.0265832829999999,5.966500608000012
37,s_s,20,1111,100,49,0.0430832580000001,10.194248339000012
38,s_s,30,1111,100,33,0.040999925,12.080326180000018
39,s_s,40,1111,100,24,0.0659165820000002,18.858496311000025
40,s_s,60,1111,100,16,0.0651665910000003,17.59558622900002
41,s_s,100,1111,100,9,0.0950832679999999,30.288595120000025
42,s_s,5,2222,100,199,0.0124166359999999,3.227038999000001
43,s_s,10,2222,100,99,0.0255832939999999,5.998235601000002
44,s_s,20,2222,100,49,0.0442499460000001,10.996577256000007
45,s_s,30,2222,100,33,0.0476666020000001,13.104207334000009
46,s_s,40,2222,100,24,0.0644999250000003,18.72712090100001
47,s_s,60,2222,100,16,0.0656665950000003,18.40763306399998
48,s_s,100,2222,100,9,0.0978332659999999,30.498969008999968
49,s_s,5,4444,100,199,0.0111666369999999,3.096965040999996
50,s_s,10,4444,100,99,0.0242499509999999,5.808464223000002
51,s_s,20,4444,100,49,0.043083275,10.344041397000003
