,compare,threshold,seed,human_seed,updates,utility
106,interaction,12.0,3333,200,40,0.0313332659999999
107,interaction,12.0,3333,300,41,0.037166595
108,interaction,12.0,3333,400,42,0.034833255
109,interaction,12.0,3333,500,43,0.034333262
110,interaction,14.0,3333,100,36,0.0377499360000001
111,interaction,14.0,3333,200,34,0.035916585
112,interaction,14.0,3333,300,37,0.038333273
113,interaction,14.0,3333,400,40,0.036166594
114,interaction,14.0,3333,500,37,0.040249935
115,interaction,15.0,3333,100,36,0.0391666010000001
116,interaction,15.0,3333,200,33,0.037416576
117,interaction,15.0,3333,300,35,0.040833263
118,interaction,15.0,3333,400,39,0.038499932
119,interaction,15.0,3333,500,34,0.0429165940000001
120,interaction,17.0,3333,100,35,0.0397499270000001
121,interaction,17.0,3333,200,33,0.0387499240000001
122,interaction,17.0,3333,300,32,0.041249924
123,interaction,17.0,3333,400,33,0.0388332650000001
124,interaction,17.0,3333,500,34,0.040749931
125,interaction,18.0,3333,100,31,0.0466665920000001
126,interaction,18.0,3333,200,36,0.039333254
127,interaction,18.0,3333,300,33,0.040999935
128,interaction,18.0,3333,400,32,0.0395832660000001
129,interaction,18.0,3333,500,30,0.0422499250000001
130,interaction,20.0,3333,100,30,0.0419999300000001
131,interaction,20.0,3333,200,27,0.042333266
132,interaction,20.0,3333,300,29,0.0437499140000001
133,interaction,20.0,3333,400,32,0.0437499210000001
134,interaction,20.0,3333,500,25,0.0441665930000001
135,interaction,25.0,3333,100,24,0.0475832580000002
136,interaction,25.0,3333,200,21,0.0486665920000001
137,interaction,25.0,3333,300,25,0.0506665990000002
138,interaction,25.0,3333,400,22,0.0495832640000002
139,interaction,25.0,3333,500,22,0.0524999220000003
140,interaction,30.0,3333,100,22,0.0606665920000003
141,interaction,30.0,3333,200,18,0.0589999140000003
142,interaction,30.0,3333,300,20,0.0602499250000003
143,interaction,30.0,3333,400,18,0.0620832700000003
144,interaction,30.0,3333,500,22,0.0614166040000002
145,interaction,35.0,3333,100,16,0.0576666110000002
146,interaction,35.0,3333,200,16,0.0604999210000004
147,interaction,35.0,3333,300,16,0.0637499230000004
148,interaction,35.0,3333,400,17,0.0564165950000002
149,interaction,35.0,3333,500,19,0.0609999260000003
150,interaction,40.0,3333,100,17,0.0741666060000001
151,interaction,40.0,3333,200,14,0.0667499340000003
152,interaction,40.0,3333,300,15,0.0715832640000002
153,interaction,40.0,3333,400,16,0.0615832720000003
154,interaction,40.0,3333,500,17,0.0680832610000003
155,interaction,45.0,3333,100,14,0.07616661
156,interaction,45.0,3333,200,13,0.0638332580000004
157,interaction,45.0,3333,300,13,0.0767499290000001
158,interaction,45.0,3333,400,14,0.0669166040000002
159,interaction,45.0,3333,500,15,0.0688332720000002
160,interaction,50.0,3333,100,12,0.080749936
161,interaction,50.0,3333,200,15,0.0783332710000001
162,interaction,50.0,3333,300,12,0.080166593
163,interaction,50.0,3333,400,11,0.0861665970000001
164,interaction,50.0,3333,500,12,0.078916602
165,interaction,55.0,3333,100,10,0.0845832719999998
166,interaction,55.0,3333,200,11,0.0842499460000001
167,interaction,55.0,3333,300,12,0.0862499360000001
168,interaction,55.0,3333,400,11,0.0868332590000001
169,interaction,55.0,3333,500,9,0.0879999430000001
170,interaction,60.0,3333,100,10,0.0824999320000002
171,interaction,60.0,3333,200,11,0.0836665920000001
172,interaction,60.0,3333,300,9,0.0908332609999998
173,interaction,60.0,3333,400,9,0.0869999170000002
174,interaction,60.0,3333,500,10,0.08508326
175,interaction,65.0,3333,100,9,0.0889999279999999
176,interaction,65.0,3333,200,11,0.0825832660000001
177,interaction,65.0,3333,300,8,0.0876666069999999
178,interaction,65.0,3333,400,11,0.0884999249999998
179,interaction,65.0,3333,500,10,0.1014166049999998
180,interaction,70.0,3333,100,8,0.1023332909999999
181,interaction,70.0,3333,200,8,0.0918332669999999
182,interaction,70.0,3333,300,6,0.1114999509999996
183,interaction,70.0,3333,400,7,0.0958332709999998
184,interaction,70.0,3333,500,9,0.0902499369999998
185,interaction,75.0,3333,100,6,0.1027499389999997
186,interaction,75.0,3333,200,7,0.1249999279999998
187,interaction,75.0,3333,300,7,0.1002499499999995
188,interaction,75.0,3333,400,10,0.0905832609999998
189,interaction,75.0,3333,500,6,0.1122499179999995
190,interaction,80.0,3333,100,4,0.1154999509999996
191,interaction,80.0,3333,200,5,0.1213332789999995
192,interaction,80.0,3333,300,6,0.1089166219999998
193,interaction,80.0,3333,400,6,0.1299166169999997
194,interaction,80.0,3333,500,5,0.1344166129999995
195,interaction,90.0,3333,100,5,0.1047499469999997
196,interaction,90.0,3333,200,4,0.1147499329999996
197,interaction,90.0,3333,300,5,0.1230832929999997
198,interaction,90.0,3333,400,4,0.1283332779999997
199,interaction,90.0,3333,500,4,0.136833285
200,interaction,100.0,3333,100,3,0.1310832799999999
201,interaction,100.0,3333,200,3,0.1250832859999998
202,interaction,100.0,3333,300,3,0.1329999309999997
203,interaction,100.0,3333,400,2,0.1467499520000003
204,interaction,100.0,3333,500,3,0.145249953
205,interaction,110.0,3333,100,3,0.1279999449999998
206,interaction,110.0,3333,200,2,0.1331666159999998
207,interaction,110.0,3333,300,2,0.1319166089999997
208,interaction,110.0,3333,400,3,0.1499166380000001
209,interaction,110.0,3333,500,3,0.1405832840000001
210,interaction,120.0,3333,100,1,0.142083288
211,interaction,120.0,3333,200,2,0.1373332799999998
212,interaction,120.0,3333,300,1,0.14591661
213,interaction,120.0,3333,400,2,0.1436666240000003
214,interaction,120.0,3333,500,1,0.1558332920000001
215,position,0.1,3333,100,950,8.333300000000001e-05
216,position,0.1,3333,200,951,8.333300000000001e-05
217,position,0.1,3333,300,951,8.333300000000001e-05
218,position,0.1,3333,400,954,8.333300000000001e-05
219,position,0.1,3333,500,953,8.333300000000001e-05
220,position,0.2,3333,100,592,0.000499998
221,position,0.2,3333,200,595,0.000416665
222,position,0.2,3333,300,596,0.000499998
223,position,0.2,3333,400,594,0.000416665
224,position,0.2,3333,500,591,0.000583331
225,position,0.25,3333,100,549,0.000583331
226,position,0.25,3333,200,550,0.000416665
227,position,0.25,3333,300,550,0.000416665
228,position,0.25,3333,400,551,0.000416665
