,compare,frequency,seed,human_seed,updates,utility,position
0,position,2,1111,100,499,0.00075,1.0591026959999996
1,position,3,1111,100,332,0.0044499999999999,1.827474104000002
2,position,4,1111,100,249,0.0082999999999999,2.4577877870000027
3,position,5,1111,100,199,0.01225,3.108145736000002
4,position,10,1111,100,99,0.0224000000000001,5.892072540000006
5,position,20,1111,100,49,0.0359,10.926928050999988
6,position,30,1111,100,33,0.0456499999999998,14.240538903999996
7,position,40,1111,100,24,0.0554999999999997,19.572986244
8,position,60,1111,100,16,0.0613499999999997,28.281638589000007
9,position,100,1111,100,9,0.0921499999999996,41.41571132399995
10,position,2,2222,100,499,0.00075,1.1025100880000014
11,position,3,2222,100,332,0.0045999999999999,1.874313742999999
12,position,4,2222,100,249,0.0075999999999999,2.509702114999999
13,position,5,2222,100,199,0.0118,3.154172845999997
14,position,10,2222,100,99,0.0219000000000001,5.833139339000003
15,position,20,2222,100,49,0.0318500000000001,10.646179705000002
16,position,30,2222,100,33,0.0416999999999999,14.198508716999974
17,position,40,2222,100,24,0.0558999999999997,19.32381690999999
18,position,60,2222,100,16,0.0549999999999998,28.01222111799998
19,position,100,2222,100,9,0.0874999999999995,41.355564269000006
20,position,2,4444,100,499,0.00075,1.0746346649999996
21,position,3,4444,100,332,0.0048999999999999,1.8079126209999992
22,position,4,4444,100,249,0.0079999999999999,2.434673819999999
23,position,5,4444,100,199,0.0112,3.05984082
24,position,10,4444,100,99,0.02005,5.352197005999997
25,position,20,4444,100,49,0.0309000000000001,9.739702991999987
26,position,30,4444,100,33,0.0424,13.483915550999985
27,position,40,4444,100,24,0.0436499999999998,17.503125426999993
28,position,60,4444,100,16,0.0556499999999997,25.57930516600004
29,position,100,4444,100,9,0.0718499999999996,35.13721892200003
30,position,2,5555,100,499,0.00075,1.0905744649999998
31,position,3,5555,100,332,0.0044999999999999,1.9485901710000024
32,position,4,5555,100,249,0.0090499999999999,2.631700349000001
33,position,5,5555,100,199,0.012,3.342422380999998
34,position,10,5555,100,99,0.0244500000000001,6.064394772000001
35,position,20,5555,100,49,0.0373,11.052228059999994
36,position,30,5555,100,33,0.0470499999999999,15.206198702999997
37,position,40,5555,100,24,0.0613999999999998,19.474905338
38,position,60,5555,100,16,0.0708999999999997,28.442749071
39,position,100,5555,100,9,0.0859999999999995,40.705462127
40,position,2,6666,100,499,0.00075,1.125019331000001
41,position,3,6666,100,332,0.0043999999999999,1.923365446000001
42,position,4,6666,100,249,0.0083499999999999,2.6493859149999976
43,position,5,6666,100,199,0.01235,3.3688796539999952
44,position,10,6666,100,99,0.0248500000000001,6.152228547000005
45,position,20,6666,100,49,0.0380499999999999,11.320179635
46,position,30,6666,100,33,0.0474999999999998,14.653859247000002
47,position,40,6666,100,24,0.0590499999999996,19.297547846000004
48,position,60,6666,100,16,0.0616499999999997,27.56380982000002
49,position,100,6666,100,9,0.0947499999999996,40.57432308499998
50,s_s,2,1111,100,499,0.00075,1.09049962
51,s_s,3,1111,100,332,0.0044499999999999,1.9672288530000024
52,s_s,4,1111,100,249,0.0083499999999999,2.6703684920000006
53,s_s,5,1111,100,199,0.0125,3.4446966219999995
54,s_s,10,1111,100,99,0.0238500000000001,6.481017665000008
55,s_s,20,1111,100,49,0.03725,11.632114753999977
56,s_s,30,1111,100,33,0.0480999999999998,16.232926897999988
57,s_s,40,1111,100,24,0.0590499999999997,19.839726211000023
58,s_s,60,1111,100,16,0.0643499999999998,29.366935332
59,s_s,100,1111,100,9,0.0873999999999996,41.59428083200002
60,s_s,2,2222,100,499,0.00075,1.134076858000002
61,s_s,3,2222,100,332,0.0046999999999999,2.039396474999999
62,s_s,4,2222,100,249,0.0075999999999999,2.751775802000001
63,s_s,5,2222,100,199,0.01205,3.519027034999996
64,s_s,10,2222,100,99,0.0236500000000001,6.66344061400001
65,s_s,20,2222,100,49,0.0349000000000001,12.278030744999988
66,s_s,30,2222,100,33,0.0471999999999998,17.247793427999987
67,s_s,40,2222,100,24,0.0589499999999997,20.95630424700001
68,s_s,60,2222,100,16,0.0602499999999998,31.06817882500001
69,s_s,100,2222,100,9,0.0856499999999995,41.59626118800004
70,s_s,2,4444,100,499,0.00075,1.10626451
71,s_s,3,4444,100,332,0.0050999999999999,1.9548534549999992
72,s_s,4,4444,100,249,0.0081999999999999,2.6480788209999973
73,s_s,5,4444,100,199,0.01165,3.3767472659999997
74,s_s,10,4444,100,99,0.0222000000000001,6.016873587999997
75,s_s,20,4444,100,49,0.0344500000000001,10.653074492999998
76,s_s,30,4444,100,33,0.0471499999999999,15.765715437999996
77,s_s,40,4444,100,24,0.0478999999999996,18.35526549699999
78,s_s,60,4444,100,16,0.0584499999999997,26.93124915800004
79,s_s,100,4444,100,9,0.0795499999999996,36.81457526500007
80,s_s,2,5555,100,499,0.00075,1.1201437199999993
81,s_s,3,5555,100,332,0.0046999999999999,2.100401993000001
82,s_s,4,5555,100,249,0.0092499999999999,2.8392413130000014
83,s_s,5,5555,100,199,0.01245,3.646732793999997
84,s_s,10,5555,100,99,0.0271000000000001,6.830753306000002
85,s_s,20,5555,100,49,0.0407499999999999,12.100882739
86,s_s,30,5555,100,33,0.0520499999999998,17.576869797
87,s_s,40,5555,100,24,0.0643999999999997,21.095990545999975
88,s_s,60,5555,100,16,0.0749499999999996,30.078129222999987
89,s_s,100,5555,100,9,0.0866999999999994,41.913021243000046
90,s_s,2,6666,100,499,0.00075,1.155602284000001
91,s_s,3,6666,100,332,0.0044999999999999,2.084410772000001
92,s_s,4,6666,100,249,0.0083499999999999,2.823797083
93,s_s,5,6666,100,199,0.01245,3.669679290999997
94,s_s,10,6666,100,99,0.0260000000000001,6.874921612000012
95,s_s,20,6666,100,49,0.0386499999999999,12.096025348999994
96,s_s,30,6666,100,33,0.0499999999999997,16.90422052100002
97,s_s,40,6666,100,24,0.0582499999999996,20.506804166999974
98,s_s,60,6666,100,16,0.0638999999999997,28.49486270399999
99,s_s,100,6666,100,9,0.0886999999999997,41.37240422199999
100,s_s_keep,2,1111,100,499,0.00075,1.0591026959999996
101,s_s_keep,3,1111,100,332,0.0044499999999999,1.8317150460000016
102,s_s_keep,4,1111,100,249,0.0082999999999999,2.475216479000002
103,s_s_keep,5,1111,100,199,0.0123,3.1618436550000037
104,s_s_keep,10,1111,100,99,0.0225500000000001,6.036649507000006
105,s_s_keep,20,1111,100,49,0.0363,11.333039010999984
106,s_s_keep,30,1111,100,33,0.0473499999999998,15.146496854999992
107,s_s_keep,40,1111,100,24,0.0580499999999997,19.940396091000025
108,s_s_keep,60,1111,100,16,0.0679999999999997,29.390706059999992
109,s_s_keep,100,1111,100,9,0.1022999999999998,42.48662124499997
110,s_s_keep,2,2222,100,499,0.00075,1.1025100880000014
111,s_s_keep,3,2222,100,332,0.0045999999999999,1.876174175999999
112,s_s_keep,4,2222,100,249,0.0075999999999999,2.5287436949999997
