,update_mode,utility,seed,human_seed,init_time,update_time,duration
0,xxx,0.06399999999999996,1111,60,6,56,100
1,xxx,0.08799999999999997,2222,60,6,56,100
2,xxx,0.061999999999999986,4444,60,6,56,100
3,xxx,0.06299999999999999,5555,60,6,56,100
4,xxx,0.045,6666,60,6,56,100
5,xxx,0.05800000000000001,7777,60,6,56,100
6,xxx,0.081,8888,60,6,56,100
7,xxx,0.16799999999999993,9999,60,6,56,100
8,xxx,0.08000000000000002,12345,60,6,56,100
9,xxx,0.08299999999999999,67890,60,6,56,100
10,xxx,0.11999999999999997,1111,60,44,94,100
11,xxx,0.072,2222,60,44,94,100
12,xxx,0.064,4444,60,44,94,100
13,xxx,0.056999999999999995,5555,60,44,94,100
14,xxx,0.12199999999999996,6666,60,44,94,100
15,xxx,0.09199999999999996,7777,60,44,94,100
16,xxx,0.11299999999999993,8888,60,44,94,100
17,xxx,0.10400000000000001,9999,60,44,94,100
18,xxx,0.07900000000000001,12345,60,44,94,100
19,xxx,0.07500000000000001,67890,60,44,94,100
20,xxx,0.13199999999999995,1111,60,94,144,100
21,xxx,0.1489999999999999,2222,60,94,144,100
22,xxx,0.08399999999999996,4444,60,94,144,100
23,xxx,0.10399999999999995,5555,60,94,144,100
24,xxx,0.09099999999999993,6666,60,94,144,100
25,xxx,0.064,7777,60,94,144,100
26,xxx,0.088,8888,60,94,144,100
27,xxx,0.11799999999999997,9999,60,94,144,100
28,xxx,0.09999999999999996,12345,60,94,144,100
29,xxx,0.078,67890,60,94,144,100
30,xxx,0.118,1111,60,99,149,100
31,xxx,0.12099999999999998,2222,60,99,149,100
32,xxx,0.12300000000000003,4444,60,99,149,100
33,xxx,0.07499999999999998,5555,60,99,149,100
34,xxx,0.10999999999999999,6666,60,99,149,100
35,xxx,0.06499999999999999,7777,60,99,149,100
36,xxx,0.08399999999999995,8888,60,99,149,100
37,xxx,0.138,9999,60,99,149,100
38,xxx,0.06799999999999999,12345,60,99,149,100
39,xxx,0.07999999999999997,67890,60,99,149,100
40,xxx,0.12099999999999998,1111,60,104,154,100
41,xxx,0.09399999999999999,2222,60,104,154,100
42,xxx,0.10800000000000004,4444,60,104,154,100
43,xxx,0.106,5555,60,104,154,100
44,xxx,0.102,6666,60,104,154,100
45,xxx,0.126,7777,60,104,154,100
46,xxx,0.102,8888,60,104,154,100
47,xxx,0.095,9999,60,104,154,100
48,xxx,0.088,12345,60,104,154,100
49,xxx,0.09699999999999996,67890,60,104,154,100
50,xxx,0.07800000000000001,1111,60,159,209,100
51,xxx,0.055999999999999994,2222,60,159,209,100
52,xxx,0.068,4444,60,159,209,100
53,xxx,0.088,5555,60,159,209,100
54,xxx,0.07900000000000001,6666,60,159,209,100
55,xxx,0.09300000000000001,7777,60,159,209,100
56,xxx,0.07399999999999998,8888,60,159,209,100
57,xxx,0.08199999999999996,9999,60,159,209,100
58,xxx,0.08299999999999999,12345,60,159,209,100
59,xxx,0.07300000000000001,67890,60,159,209,100
60,xxx,0.087,1111,60,163,213,100
61,xxx,0.095,2222,60,163,213,100
62,xxx,0.08900000000000001,4444,60,163,213,100
63,xxx,0.09000000000000002,5555,60,163,213,100
64,xxx,0.073,6666,60,163,213,100
65,xxx,0.08500000000000002,7777,60,163,213,100
66,xxx,0.07799999999999997,8888,60,163,213,100
67,xxx,0.08499999999999996,9999,60,163,213,100
68,xxx,0.07199999999999998,12345,60,163,213,100
69,xxx,0.06999999999999999,67890,60,163,213,100
70,xxx,0.060999999999999964,1111,60,220,270,100
71,xxx,0.09199999999999997,2222,60,220,270,100
72,xxx,0.07000000000000002,4444,60,220,270,100
73,xxx,0.08899999999999997,5555,60,220,270,100
74,xxx,0.05999999999999997,6666,60,220,270,100
75,xxx,0.06,7777,60,220,270,100
76,xxx,0.09699999999999992,8888,60,220,270,100
77,xxx,0.060999999999999985,9999,60,220,270,100
78,xxx,0.065,12345,60,220,270,100
79,xxx,0.08699999999999994,67890,60,220,270,100
80,xxx,0.05800000000000001,1111,60,225,275,100
81,xxx,0.107,2222,60,225,275,100
82,xxx,0.076,4444,60,225,275,100
83,xxx,0.174,5555,60,225,275,100
84,xxx,0.1,6666,60,225,275,100
85,xxx,0.06699999999999995,7777,60,225,275,100
86,xxx,0.09499999999999999,8888,60,225,275,100
87,xxx,0.063,9999,60,225,275,100
88,xxx,0.08899999999999997,12345,60,225,275,100
89,xxx,0.08999999999999997,67890,60,225,275,100
90,xxx,0.105,1111,60,270,320,100
91,xxx,0.122,2222,60,270,320,100
92,xxx,0.09699999999999999,4444,60,270,320,100
93,xxx,0.11199999999999999,5555,60,270,320,100
94,xxx,0.113,6666,60,270,320,100
95,xxx,0.11599999999999999,7777,60,270,320,100
96,xxx,0.09,8888,60,270,320,100
97,xxx,0.09399999999999997,9999,60,270,320,100
98,xxx,0.098,12345,60,270,320,100
99,xxx,0.06599999999999998,67890,60,270,320,100
100,xxx,0.087,1111,60,284,334,100
101,xxx,0.067,2222,60,284,334,100
102,xxx,0.09699999999999999,4444,60,284,334,100
103,xxx,0.08200000000000002,5555,60,284,334,100
104,xxx,0.08499999999999998,6666,60,284,334,100
105,xxx,0.07200000000000001,7777,60,284,334,100
106,xxx,0.05300000000000002,8888,60,284,334,100
107,xxx,0.07600000000000001,9999,60,284,334,100
108,xxx,0.1,12345,60,284,334,100
109,xxx,0.067,67890,60,284,334,100
110,xxx,0.087,1111,60,284,334,100
111,xxx,0.067,2222,60,284,334,100
112,xxx,0.09699999999999999,4444,60,284,334,100
113,xxx,0.08200000000000002,5555,60,284,334,100
114,xxx,0.08499999999999998,6666,60,284,334,100
115,xxx,0.07200000000000001,7777,60,284,334,100
116,xxx,0.05300000000000002,8888,60,284,334,100
117,xxx,0.07600000000000001,9999,60,284,334,100
118,xxx,0.1,12345,60,284,334,100
119,xxx,0.067,67890,60,284,334,100
