,update_mode,utility,seed,human_seed,init_time,update_time,duration,utility_max,utility_scaled
0,keep_knowledge,0.02666656,1111,100,6,56,100,0.11166658,0.23880520026672258
1,keep_knowledge,0.0916666999999999,2222,100,6,56,100,0.1099999199999999,0.8333342424249035
2,keep_knowledge,0.1199999799999999,4444,100,6,56,100,0.1116666599999999,1.074626750723985
3,keep_knowledge,0.1099998799999999,5555,100,6,56,100,0.16666668,0.6599992272000612
4,keep_knowledge,0.07333324,6666,100,6,56,100,0.14166666,0.5176464243598317
5,keep_knowledge,0.1133332799999999,7777,100,6,56,100,0.1699999799999999,0.6666664313725211
6,keep_knowledge,0.1249998999999999,8888,100,6,56,100,0.13666662,0.9146337269481012
7,keep_knowledge,0.05166654,9999,100,6,56,100,0.13999996,0.36904681972766273
8,keep_knowledge,0.08333324,12345,100,6,56,100,0.1216665799999999,0.6849312276222449
9,keep_knowledge,0.1283332599999999,67890,100,6,56,100,0.1266666799999999,1.0131572091413463
10,clear_knowledge,0.0216665999999999,1111,100,6,56,100,0.11166658,0.19402940432132784
11,clear_knowledge,0.02833328,2222,100,6,56,100,0.1099999199999999,0.25757546005488025
12,clear_knowledge,0.05666662,4444,100,6,56,100,0.1116666599999999,0.5074622989529736
13,clear_knowledge,0.0866665999999999,5555,100,6,56,100,0.16666668,0.5199995584000346
14,clear_knowledge,0.06833328,6666,100,6,56,100,0.14166666,0.4823525874048276
15,clear_knowledge,0.0966666399999999,7777,100,6,56,100,0.1699999799999999,0.5686273610149833
16,clear_knowledge,0.0949999199999999,8888,100,6,56,100,0.13666662,0.6951216032122541
17,clear_knowledge,0.06166656,9999,100,6,56,100,0.13999996,0.440475554421587
18,clear_knowledge,0.0883332999999999,12345,100,6,56,100,0.1216665799999999,0.7260276404580451
19,clear_knowledge,0.11333338,67890,100,6,56,100,0.1266666799999999,0.8947371163434622
20,xxx,0.02999994,1111,100,6,56,100,0.11166658,0.26865638761391275
21,xxx,0.05499992,2222,100,6,56,100,0.1099999199999999,0.49999963636337236
22,xxx,0.11499988,4444,100,6,56,100,0.1116666599999999,1.029849733125358
23,xxx,0.01999998,5555,100,6,56,100,0.16666668,0.11999987040001037
24,xxx,0.0633332,6666,100,6,56,100,0.14166666,0.4470579033909602
25,xxx,0.03833328,7777,100,6,56,100,0.1699999799999999,0.22548990888116585
26,xxx,0.05833322,8888,100,6,56,100,0.13666662,0.42682858477073626
27,xxx,0.03833322,9999,100,6,56,100,0.13999996,0.27380879251679785
