,compare,frequency,seed,human_seed,updates,utility,position
0,position,5,1111,100,199,0.0135999999999999,1.9101204800000016
1,position,10,1111,100,99,0.0239,3.3197424469999977
2,position,20,1111,100,49,0.0478000000000001,6.486904629999994
3,position,30,1111,100,33,0.0506000000000001,7.006030624999997
4,position,40,1111,100,24,0.0707000000000002,9.998341987000003
5,position,60,1111,100,16,0.0749000000000002,13.171626224000004
6,position,100,1111,100,9,0.1042999999999996,17.805695899000003
7,position,5,2222,100,199,0.0116999999999999,1.9433618579999985
8,position,10,2222,100,99,0.0221,3.478207979
9,position,20,2222,100,49,0.0447000000000002,6.365805146999994
10,position,30,2222,100,33,0.0504000000000003,6.548057858000003
11,position,40,2222,100,24,0.0682000000000002,10.24333508599999
12,position,60,2222,100,16,0.0728000000000001,14.10256565799998
13,position,100,2222,100,9,0.0927999999999995,20.61173803399998
14,position,5,4444,100,199,0.0107999999999999,2.058962431999999
15,position,10,4444,100,99,0.02,3.497483380000001
16,position,20,4444,100,49,0.0333000000000001,6.559541335000007
17,position,30,4444,100,33,0.0364000000000001,6.540551956000008
18,position,40,4444,100,24,0.0623000000000002,11.103259840999987
19,position,60,4444,100,16,0.0720999999999999,14.896436771000015
20,position,100,4444,100,9,0.1043999999999998,19.06896691899996
21,position,5,5555,100,199,0.0126999999999999,2.2101995809999986
22,position,10,5555,100,99,0.0225,3.801972836999994
23,position,20,5555,100,49,0.0410000000000002,6.869824416000007
24,position,30,5555,100,33,0.0473000000000002,7.396390440000013
25,position,40,5555,100,24,0.0715000000000001,11.19763844800001
26,position,60,5555,100,16,0.0675000000000001,13.78486490700002
27,position,100,5555,100,9,0.0946999999999994,18.754987262999983
28,position,5,6666,100,199,0.0127999999999999,2.0628335089999967
29,position,10,6666,100,99,0.0247,3.753285263999997
30,position,20,6666,100,49,0.0550000000000003,7.126742058000005
31,position,30,6666,100,33,0.0593000000000003,7.838762668000006
32,position,40,6666,100,24,0.0788999999999999,11.405427107999998
33,position,60,6666,100,16,0.0958999999999997,15.603076235999984
34,position,100,6666,100,9,0.1239999999999998,22.74141659000001
35,s_s,5,1111,100,199,0.0138999999999999,2.8497661500000007
36,s_s,10,1111,100,99,0.0245,5.001415032000002
37,s_s,20,1111,100,49,0.0502000000000001,9.078609779000006
38,s_s,30,1111,100,33,0.0516000000000001,8.814715888000002
39,s_s,40,1111,100,24,0.0766000000000003,15.461530056999996
40,s_s,60,1111,100,16,0.0804,14.974388032000004
41,s_s,100,1111,100,9,0.1090999999999995,20.999938661000016
42,s_s,5,2222,100,199,0.0122999999999999,2.927127845
43,s_s,10,2222,100,99,0.0241,5.076360170000005
44,s_s,20,2222,100,49,0.0505000000000002,9.103051949
45,s_s,30,2222,100,33,0.0524000000000003,8.694755806999993
46,s_s,40,2222,100,24,0.0802000000000003,15.033417367
47,s_s,60,2222,100,16,0.0755000000000001,15.731462318999975
48,s_s,100,2222,100,9,0.1014999999999995,25.892610476
49,s_s,5,4444,100,199,0.0110999999999999,2.7150382470000007
50,s_s,10,4444,100,99,0.021,4.729761479000003
51,s_s,20,4444,100,49,0.0346000000000001,7.728923931000006
52,s_s,30,4444,100,33,0.0384000000000001,8.468120627000005
53,s_s,40,4444,100,24,0.0662000000000001,12.805181065000008
54,s_s,60,4444,100,16,0.0744999999999998,15.671242451
55,s_s,100,4444,100,9,0.0952999999999998,21.35108572699996
56,s_s,5,5555,100,199,0.0128999999999999,2.940736288999995
57,s_s,10,5555,100,99,0.023,5.094758834000001
58,s_s,20,5555,100,49,0.0416000000000002,9.007161689000013
59,s_s,30,5555,100,33,0.0482000000000002,8.925912109000002
60,s_s,40,5555,100,24,0.0760000000000002,15.202978658999989
61,s_s,60,5555,100,16,0.07,16.162307851000012
62,s_s,100,5555,100,9,0.0978999999999994,20.154536282999956
63,s_s,5,6666,100,199,0.0132999999999999,2.962276848
64,s_s,10,6666,100,99,0.026,5.287261984000007
65,s_s,20,6666,100,49,0.0578000000000003,9.675535329000008
66,s_s,30,6666,100,33,0.0619000000000003,9.572737659
67,s_s,40,6666,100,24,0.0915999999999996,17.154827739999998
68,s_s,60,6666,100,16,0.0950999999999997,16.675699427999998
