,compare,threshold,seed,human_seed,updates,utility
0,position,500,1111,100,0,0.12885
1,position,500,2222,100,0,0.1328
2,position,500,4444,100,0,0.13615
3,position,500,5555,100,0,0.15084999999999998
4,position,500,6666,100,0,0.13304999999999997
5,position,500,7777,100,0,0.149
6,position,500,8888,100,0,0.1305
7,position,500,9999,100,0,0.11925
8,position,500,12345,100,0,0.13290000000000002
9,position,500,5342,100,0,0.13
