,update_mode,utility,seed,human_seed,init_time,update_time,duration
0,xxx,0.09833317999999996,1111,60,6,56,100
1,xxx,0.14499997999999997,2222,60,6,56,100
2,xxx,0.11166655999999994,4444,60,6,56,100
3,xxx,0.16000002000000002,5555,60,6,56,100
4,xxx,0.15666661999999992,6666,60,6,56,100
5,xxx,0.14000004000000002,7777,60,6,56,100
6,xxx,0.19499998,8888,60,6,56,100
7,xxx,0.12499991999999996,9999,60,6,56,100
8,xxx,0.13833327999999998,12345,60,6,56,100
9,xxx,0.10999997999999996,67890,60,6,56,100
10,xxx,0.11499994000000002,1111,60,44,94,100
11,xxx,0.07833328,2222,60,44,94,100
12,xxx,0.11999996000000003,4444,60,44,94,100
13,xxx,0.12833335999999998,5555,60,44,94,100
14,xxx,0.11166656,6666,60,44,94,100
15,xxx,0.08333332,7777,60,44,94,100
16,xxx,0.13499992000000002,8888,60,44,94,100
17,xxx,0.11333332,9999,60,44,94,100
18,xxx,0.06333324000000001,12345,60,44,94,100
19,xxx,0.12333334000000001,67890,60,44,94,100
20,xxx,0.03833324000000002,1111,60,94,144,100
21,xxx,0.06499990000000003,2222,60,94,144,100
22,xxx,0.061666580000000026,4444,60,94,144,100
23,xxx,0.07666654000000002,5555,60,94,144,100
24,xxx,0.06999992000000003,6666,60,94,144,100
25,xxx,0.024999940000000005,7777,60,94,144,100
26,xxx,0.07999996000000001,8888,60,94,144,100
27,xxx,0.07499984000000004,9999,60,94,144,100
28,xxx,0.06666652000000002,12345,60,94,144,100
29,xxx,0.05999992000000003,67890,60,94,144,100
30,xxx,0.053333200000000025,1111,60,99,149,100
31,xxx,0.06666654000000002,2222,60,99,149,100
32,xxx,0.04166662000000001,4444,60,99,149,100
33,xxx,0.06666658000000003,5555,60,99,149,100
34,xxx,0.06833326000000002,6666,60,99,149,100
35,xxx,0.051666560000000014,7777,60,99,149,100
36,xxx,0.04999990000000001,8888,60,99,149,100
37,xxx,0.06833320000000002,9999,60,99,149,100
38,xxx,0.06499988000000002,12345,60,99,149,100
39,xxx,0.05499992000000002,67890,60,99,149,100
40,xxx,0.09333325999999997,1111,60,104,154,100
41,xxx,0.0783333,2222,60,104,154,100
42,xxx,0.059999920000000026,4444,60,104,154,100
43,xxx,0.06333324000000001,5555,60,104,154,100
44,xxx,0.09666660000000003,6666,60,104,154,100
45,xxx,0.06499986000000003,7777,60,104,154,100
46,xxx,0.061666580000000006,8888,60,104,154,100
47,xxx,0.05999996000000002,9999,60,104,154,100
48,xxx,0.07499986000000003,12345,60,104,154,100
49,xxx,0.06166662000000001,67890,60,104,154,100
50,xxx,0.059999940000000015,1111,60,159,209,100
51,xxx,0.04499993999999999,2222,60,159,209,100
52,xxx,0.056666620000000015,4444,60,159,209,100
53,xxx,0.04999996000000001,5555,60,159,209,100
54,xxx,0.06999992000000002,6666,60,159,209,100
55,xxx,0.06833328000000001,7777,60,159,209,100
56,xxx,0.03833328,8888,60,159,209,100
57,xxx,0.04833330000000001,9999,60,159,209,100
58,xxx,0.07999992,12345,60,159,209,100
59,xxx,0.05999986000000004,67890,60,159,209,100
