,compare,threshold,seed,human_seed,updates,utility
0,action_direct,0.05,1111.0,100,834,0.00085
1,action_direct,0.1,1111.0,100,729,0.00185
2,action_direct,0.12,1111.0,100,729,0.00185
3,action_direct,0.14,1111.0,100,722,0.00215
4,action_direct,0.15,1111.0,100,691,0.0023
5,action_direct,0.16,1111.0,100,691,0.0023
6,action_direct,0.18,1111.0,100,680,0.003
7,action_direct,0.2,1111.0,100,568,0.0050999999999999
8,action_direct,0.22,1111.0,100,567,0.00515
9,action_direct,0.24,1111.0,100,562,0.0057
10,action_direct,0.25,1111.0,100,520,0.0065
11,action_direct,0.26,1111.0,100,520,0.0065
12,action_direct,0.28,1111.0,100,507,0.0068
13,action_direct,0.3,1111.0,100,429,0.01055
14,action_direct,0.32,1111.0,100,428,0.01055
15,action_direct,0.34,1111.0,100,423,0.0105499999999999
16,action_direct,0.35,1111.0,100,388,0.01035
17,action_direct,0.36,1111.0,100,388,0.01035
18,action_direct,0.38,1111.0,100,380,0.0122
19,action_direct,0.4,1111.0,100,291,0.01625
20,action_direct,0.42,1111.0,100,289,0.01625
21,action_direct,0.44,1111.0,100,282,0.0181
22,action_direct,0.45,1111.0,100,250,0.02055
23,action_direct,0.46,1111.0,100,250,0.02055
24,action_direct,0.48,1111.0,100,241,0.0212999999999999
25,action_direct,0.5,1111.0,100,176,0.0225499999999999
26,action_direct,0.55,1111.0,100,142,0.0288
27,action_direct,0.6,1111.0,100,89,0.0371
28,action_direct,0.65,1111.0,100,76,0.03975
29,action_direct,0.7,1111.0,100,48,0.0489499999999999
30,action_direct,0.75,1111.0,100,43,0.05225
31,action_direct,0.8,1111.0,100,30,0.05945
32,action_direct,0.85,1111.0,100,27,0.0627
33,action_direct,0.9,1111.0,100,16,0.068
34,action_direct,0.95,1111.0,100,11,0.06655
35,action_direct,0.05,2222.0,100,852,0.0006
36,action_direct,0.1,2222.0,100,746,0.00125
37,action_direct,0.12,2222.0,100,745,0.0012
38,action_direct,0.14,2222.0,100,738,0.0014
39,action_direct,0.15,2222.0,100,704,0.0018
40,action_direct,0.16,2222.0,100,704,0.0018
41,action_direct,0.18,2222.0,100,700,0.0019
42,action_direct,0.2,2222.0,100,618,0.0030999999999999
43,action_direct,0.22,2222.0,100,618,0.0030999999999999
44,action_direct,0.24,2222.0,100,616,0.0035499999999999
45,action_direct,0.25,2222.0,100,578,0.00465
46,action_direct,0.26,2222.0,100,578,0.00465
47,action_direct,0.28,2222.0,100,563,0.0048499999999999
48,action_direct,0.3,2222.0,100,473,0.00675
49,action_direct,0.32,2222.0,100,472,0.00675
50,action_direct,0.34,2222.0,100,461,0.0084
51,action_direct,0.35,2222.0,100,425,0.0096999999999999
52,action_direct,0.36,2222.0,100,425,0.0096999999999999
53,action_direct,0.38,2222.0,100,415,0.0099
54,action_direct,0.4,2222.0,100,323,0.01185
55,action_direct,0.42,2222.0,100,323,0.0118999999999999
56,action_direct,0.44,2222.0,100,320,0.01255
57,action_direct,0.45,2222.0,100,276,0.0174
58,action_direct,0.46,2222.0,100,276,0.0174
59,action_direct,0.48,2222.0,100,269,0.0192
60,action_direct,0.5,2222.0,100,188,0.02145
61,action_direct,0.55,2222.0,100,152,0.02635
62,action_direct,0.6,2222.0,100,101,0.03325
63,action_direct,0.65,2222.0,100,84,0.03405
64,action_direct,0.7,2222.0,100,60,0.0409
65,action_direct,0.75,2222.0,100,46,0.0432
66,action_direct,0.8,2222.0,100,34,0.05105
67,action_direct,0.85,2222.0,100,26,0.0550499999999999
68,action_direct,0.9,2222.0,100,18,0.0644
69,action_direct,0.95,2222.0,100,14,0.0719
70,action_direct,0.05,5555.0,100,852,0.0005
71,action_direct,0.1,5555.0,100,765,0.001
72,action_direct,0.12,5555.0,100,764,0.00095
73,action_direct,0.14,5555.0,100,756,0.00125
74,action_direct,0.15,5555.0,100,732,0.0013
75,action_direct,0.16,5555.0,100,732,0.0013
76,action_direct,0.18,5555.0,100,723,0.0015
77,action_direct,0.2,5555.0,100,627,0.0025
78,action_direct,0.22,5555.0,100,627,0.0025
79,action_direct,0.24,5555.0,100,623,0.003
80,action_direct,0.25,5555.0,100,588,0.00455
81,action_direct,0.26,5555.0,100,588,0.00455
82,action_direct,0.28,5555.0,100,576,0.0048499999999999
83,action_direct,0.3,5555.0,100,455,0.00735
84,action_direct,0.32,5555.0,100,455,0.00735
85,action_direct,0.34,5555.0,100,450,0.00715
86,action_direct,0.35,5555.0,100,413,0.0078
87,action_direct,0.36,5555.0,100,413,0.0078
88,action_direct,0.38,5555.0,100,399,0.00925
89,action_direct,0.4,5555.0,100,295,0.01275
90,action_direct,0.42,5555.0,100,295,0.01275
91,action_direct,0.44,5555.0,100,286,0.0138499999999999
92,action_direct,0.45,5555.0,100,257,0.0162
93,action_direct,0.46,5555.0,100,257,0.0162
94,action_direct,0.48,5555.0,100,247,0.0175499999999999
95,action_direct,0.5,5555.0,100,180,0.0241
96,action_direct,0.55,5555.0,100,157,0.02495
97,action_direct,0.6,5555.0,100,109,0.0335499999999999
98,action_direct,0.65,5555.0,100,94,0.0402
99,action_direct,0.7,5555.0,100,59,0.04265
100,action_direct,0.75,5555.0,100,51,0.04745
101,action_direct,0.8,5555.0,100,35,0.0526
102,action_direct,0.85,5555.0,100,28,0.0569
103,action_direct,0.9,5555.0,100,15,0.06695
104,action_direct,0.95,5555.0,100,14,0.07835
105,action_direct,0.05,6666.0,100,870,0.0004
106,action_direct,0.1,6666.0,100,767,0.00095
107,action_direct,0.12,6666.0,100,766,0.00095
108,action_direct,0.14,6666.0,100,759,0.00135
109,action_direct,0.15,6666.0,100,706,0.00225
110,action_direct,0.16,6666.0,100,706,0.00225
111,action_direct,0.18,6666.0,100,691,0.0032
112,action_direct,0.2,6666.0,100,610,0.0053
113,action_direct,0.22,6666.0,100,610,0.0053
114,action_direct,0.24,6666.0,100,604,0.0054
115,action_direct,0.25,6666.0,100,566,0.005
116,action_direct,0.26,6666.0,100,565,0.0052
117,action_direct,0.28,6666.0,100,558,0.0055
118,action_direct,0.3,6666.0,100,460,0.00825
119,action_direct,0.32,6666.0,100,459,0.0086
120,action_direct,0.34,6666.0,100,454,0.00945
121,action_direct,0.35,6666.0,100,414,0.0098999999999999
122,action_direct,0.36,6666.0,100,414,0.0098999999999999
123,action_direct,0.38,6666.0,100,402,0.01225
124,action_direct,0.4,6666.0,100,323,0.0153499999999999
125,action_direct,0.42,6666.0,100,323,0.0153499999999999
126,action_direct,0.44,6666.0,100,317,0.0156
127,action_direct,0.45,6666.0,100,288,0.01845
128,action_direct,0.46,6666.0,100,288,0.01845
129,action_direct,0.48,6666.0,100,274,0.0199499999999999
130,action_direct,0.5,6666.0,100,194,0.0245
