,update_mode,utility,seed,human_seed,init_time,update_time,duration,utility_max,utility_scaled
67,keep_knowledge,0.039,9999,100,94,144,100,0.1179999999999999,0.33050847457627147
68,keep_knowledge,0.072,12345,100,94,144,100,0.0999999999999999,0.7200000000000008
69,keep_knowledge,0.043,67890,100,94,144,100,0.078,0.5512820512820512
70,clear_knowledge,0.05,1111,100,94,144,100,0.1319999999999999,0.3787878787878791
71,clear_knowledge,0.0599999999999999,2222,100,94,144,100,0.1489999999999999,0.40268456375838885
72,clear_knowledge,0.055,4444,100,94,144,100,0.0839999999999999,0.6547619047619055
73,clear_knowledge,0.072,5555,100,94,144,100,0.1039999999999999,0.692307692307693
74,clear_knowledge,0.065,6666,100,94,144,100,0.0909999999999999,0.7142857142857151
75,clear_knowledge,0.044,7777,100,94,144,100,0.064,0.6875
76,clear_knowledge,0.051,8888,100,94,144,100,0.088,0.5795454545454546
77,clear_knowledge,0.038,9999,100,94,144,100,0.1179999999999999,0.322033898305085
78,clear_knowledge,0.05,12345,100,94,144,100,0.0999999999999999,0.5000000000000006
79,clear_knowledge,0.062,67890,100,94,144,100,0.078,0.7948717948717948
80,xxx,0.058,1111,100,94,144,100,0.1319999999999999,0.4393939393939398
81,xxx,0.0599999999999999,2222,100,94,144,100,0.1489999999999999,0.40268456375838885
82,xxx,0.058,4444,100,94,144,100,0.0839999999999999,0.6904761904761914
83,xxx,0.072,5555,100,94,144,100,0.1039999999999999,0.692307692307693
84,xxx,0.086,6666,100,94,144,100,0.0909999999999999,0.945054945054946
85,xxx,0.044,7777,100,94,144,100,0.064,0.6875
86,xxx,0.048,8888,100,94,144,100,0.088,0.5454545454545455
87,xxx,0.039,9999,100,94,144,100,0.1179999999999999,0.33050847457627147
88,xxx,0.071,12345,100,94,144,100,0.0999999999999999,0.7100000000000006
89,xxx,0.043,67890,100,94,144,100,0.078,0.5512820512820512
90,keep_knowledge,0.0599999999999999,1111,100,99,149,100,0.118,0.5084745762711856
91,keep_knowledge,0.039,2222,100,99,149,100,0.1209999999999999,0.3223140495867771
92,keep_knowledge,0.055,4444,100,99,149,100,0.123,0.44715447154471544
93,keep_knowledge,0.0609999999999999,5555,100,99,149,100,0.0749999999999999,0.8133333333333331
94,keep_knowledge,0.08,6666,100,99,149,100,0.1099999999999999,0.727272727272728
95,keep_knowledge,0.036,7777,100,99,149,100,0.0649999999999999,0.5538461538461547
96,keep_knowledge,0.049,8888,100,99,149,100,0.0839999999999999,0.583333333333334
