,update_mode,utility,seed,human_seed,init_time,update_time,duration,utility_max,utility_scaled
0,keep_knowledge,0.082,1111,100,6,56,100,0.1719999999999999,0.4767441860465119
1,keep_knowledge,0.086,2222,100,6,56,100,0.106,0.8113207547169811
2,keep_knowledge,0.072,4444,100,6,56,100,0.114,0.631578947368421
3,keep_knowledge,0.1119999999999999,5555,100,6,56,100,0.0979999999999999,1.142857142857143
4,keep_knowledge,0.064,6666,100,6,56,100,0.126,0.5079365079365079
5,keep_knowledge,0.096,7777,100,6,56,100,0.072,1.3333333333333335
6,keep_knowledge,0.048,8888,100,6,56,100,0.094,0.5106382978723404
7,keep_knowledge,0.07,9999,100,6,56,100,0.162,0.4320987654320988
8,keep_knowledge,0.07,12345,100,6,56,100,0.088,0.7954545454545455
9,keep_knowledge,0.082,67890,100,6,56,100,0.102,0.803921568627451
10,clear_knowledge,0.084,1111,100,6,56,100,0.1719999999999999,0.4883720930232561
11,clear_knowledge,0.078,2222,100,6,56,100,0.106,0.7358490566037736
12,clear_knowledge,0.064,4444,100,6,56,100,0.114,0.5614035087719298
13,clear_knowledge,0.06,5555,100,6,56,100,0.0979999999999999,0.6122448979591842
14,clear_knowledge,0.064,6666,100,6,56,100,0.126,0.5079365079365079
15,clear_knowledge,0.084,7777,100,6,56,100,0.072,1.1666666666666667
16,clear_knowledge,0.07,8888,100,6,56,100,0.094,0.7446808510638299
17,clear_knowledge,0.066,9999,100,6,56,100,0.162,0.40740740740740744
18,clear_knowledge,0.076,12345,100,6,56,100,0.088,0.8636363636363636
19,clear_knowledge,0.096,67890,100,6,56,100,0.102,0.9411764705882354
20,xxx,0.046,1111,100,6,56,100,0.1719999999999999,0.2674418604651164
21,xxx,0.05,2222,100,6,56,100,0.106,0.47169811320754723
22,xxx,0.048,4444,100,6,56,100,0.114,0.42105263157894735
23,xxx,0.044,5555,100,6,56,100,0.0979999999999999,0.4489795918367351
24,xxx,0.05,6666,100,6,56,100,0.126,0.39682539682539686
25,xxx,0.066,7777,100,6,56,100,0.072,0.9166666666666667
26,xxx,0.036,8888,100,6,56,100,0.094,0.3829787234042553
27,xxx,0.064,9999,100,6,56,100,0.162,0.3950617283950617
28,xxx,0.058,12345,100,6,56,100,0.088,0.6590909090909092
29,xxx,0.038,67890,100,6,56,100,0.102,0.37254901960784315
30,keep_knowledge,0.092,1111,100,44,94,100,0.102,0.9019607843137255
31,keep_knowledge,0.104,2222,100,44,94,100,0.144,0.7222222222222222
32,keep_knowledge,0.096,4444,100,44,94,100,0.142,0.6760563380281691
33,keep_knowledge,0.1079999999999999,5555,100,44,94,100,0.126,0.8571428571428563
34,keep_knowledge,0.08,6666,100,44,94,100,0.116,0.689655172413793
35,keep_knowledge,0.1079999999999999,7777,100,44,94,100,0.132,0.8181818181818173
36,keep_knowledge,0.096,8888,100,44,94,100,0.134,0.7164179104477612
37,keep_knowledge,0.066,9999,100,44,94,100,0.132,0.5
38,keep_knowledge,0.094,12345,100,44,94,100,0.1079999999999999,0.8703703703703711
39,keep_knowledge,0.102,67890,100,44,94,100,0.132,0.7727272727272726
40,clear_knowledge,0.09,1111,100,44,94,100,0.102,0.8823529411764706
41,clear_knowledge,0.104,2222,100,44,94,100,0.144,0.7222222222222222
42,clear_knowledge,0.078,4444,100,44,94,100,0.142,0.5492957746478874
43,clear_knowledge,0.1079999999999999,5555,100,44,94,100,0.126,0.8571428571428563
44,clear_knowledge,0.08,6666,100,44,94,100,0.116,0.689655172413793
45,clear_knowledge,0.1079999999999999,7777,100,44,94,100,0.132,0.8181818181818173
46,clear_knowledge,0.082,8888,100,44,94,100,0.134,0.6119402985074627
47,clear_knowledge,0.066,9999,100,44,94,100,0.132,0.5
48,clear_knowledge,0.096,12345,100,44,94,100,0.1079999999999999,0.8888888888888897
49,clear_knowledge,0.102,67890,100,44,94,100,0.132,0.7727272727272726
50,xxx,0.092,1111,100,44,94,100,0.102,0.9019607843137255
51,xxx,0.104,2222,100,44,94,100,0.144,0.7222222222222222
52,xxx,0.1,4444,100,44,94,100,0.142,0.7042253521126761
53,xxx,0.1099999999999999,5555,100,44,94,100,0.126,0.8730158730158722
54,xxx,0.08,6666,100,44,94,100,0.116,0.689655172413793
55,xxx,0.1079999999999999,7777,100,44,94,100,0.132,0.8181818181818173
56,xxx,0.086,8888,100,44,94,100,0.134,0.6417910447761194
57,xxx,0.066,9999,100,44,94,100,0.132,0.5
58,xxx,0.094,12345,100,44,94,100,0.1079999999999999,0.8703703703703711
59,xxx,0.102,67890,100,44,94,100,0.132,0.7727272727272726
60,keep_knowledge,0.024,1111,100,94,144,100,0.1419999999999999,0.16901408450704236
61,keep_knowledge,0.026,2222,100,94,144,100,0.078,0.3333333333333333
62,keep_knowledge,0.0199999999999999,4444,100,94,144,100,0.1379999999999999,0.14492753623188342
63,keep_knowledge,0.044,5555,100,94,144,100,0.07,0.6285714285714284
64,keep_knowledge,0.046,6666,100,94,144,100,0.082,0.5609756097560975
65,keep_knowledge,0.022,7777,100,94,144,100,0.072,0.3055555555555556
66,keep_knowledge,0.0199999999999999,8888,100,94,144,100,0.07,0.28571428571428426
67,keep_knowledge,0.028,9999,100,94,144,100,0.104,0.2692307692307693
68,keep_knowledge,0.022,12345,100,94,144,100,0.106,0.20754716981132074
69,keep_knowledge,0.026,67890,100,94,144,100,0.07,0.3714285714285714
70,clear_knowledge,0.024,1111,100,94,144,100,0.1419999999999999,0.16901408450704236
71,clear_knowledge,0.022,2222,100,94,144,100,0.078,0.28205128205128205
72,clear_knowledge,0.0199999999999999,4444,100,94,144,100,0.1379999999999999,0.14492753623188342
73,clear_knowledge,0.042,5555,100,94,144,100,0.07,0.6
74,clear_knowledge,0.044,6666,100,94,144,100,0.082,0.5365853658536585
75,clear_knowledge,0.0199999999999999,7777,100,94,144,100,0.072,0.2777777777777764
76,clear_knowledge,0.0199999999999999,8888,100,94,144,100,0.07,0.28571428571428426
77,clear_knowledge,0.026,9999,100,94,144,100,0.104,0.25
78,clear_knowledge,0.0199999999999999,12345,100,94,144,100,0.106,0.18867924528301794
79,clear_knowledge,0.024,67890,100,94,144,100,0.07,0.3428571428571428
80,xxx,0.024,1111,100,94,144,100,0.1419999999999999,0.16901408450704236
81,xxx,0.026,2222,100,94,144,100,0.078,0.3333333333333333
82,xxx,0.022,4444,100,94,144,100,0.1379999999999999,0.15942028985507256
83,xxx,0.042,5555,100,94,144,100,0.07,0.6
84,xxx,0.046,6666,100,94,144,100,0.082,0.5609756097560975
85,xxx,0.0199999999999999,7777,100,94,144,100,0.072,0.2777777777777764
86,xxx,0.0199999999999999,8888,100,94,144,100,0.07,0.28571428571428426
87,xxx,0.028,9999,100,94,144,100,0.104,0.2692307692307693
88,xxx,0.022,12345,100,94,144,100,0.106,0.20754716981132074
89,xxx,0.024,67890,100,94,144,100,0.07,0.3428571428571428
90,keep_knowledge,0.044,1111,100,99,149,100,0.1359999999999999,0.3235294117647061
91,keep_knowledge,0.026,2222,100,99,149,100,0.08,0.32499999999999996
92,keep_knowledge,0.024,4444,100,99,149,100,0.064,0.375
93,keep_knowledge,0.042,5555,100,99,149,100,0.126,0.33333333333333337
94,keep_knowledge,0.038,6666,100,99,149,100,0.08,0.475
95,keep_knowledge,0.026,7777,100,99,149,100,0.092,0.2826086956521739
96,keep_knowledge,0.022,8888,100,99,149,100,0.07,0.3142857142857142
97,keep_knowledge,0.03,9999,100,99,149,100,0.12,0.25
98,keep_knowledge,0.024,12345,100,99,149,100,0.088,0.27272727272727276
99,keep_knowledge,0.028,67890,100,99,149,100,0.082,0.3414634146341463
100,clear_knowledge,0.044,1111,100,99,149,100,0.1359999999999999,0.3235294117647061
101,clear_knowledge,0.026,2222,100,99,149,100,0.08,0.32499999999999996
102,clear_knowledge,0.024,4444,100,99,149,100,0.064,0.375
103,clear_knowledge,0.042,5555,100,99,149,100,0.126,0.33333333333333337
104,clear_knowledge,0.038,6666,100,99,149,100,0.08,0.475
105,clear_knowledge,0.026,7777,100,99,149,100,0.092,0.2826086956521739
106,clear_knowledge,0.022,8888,100,99,149,100,0.07,0.3142857142857142
107,clear_knowledge,0.03,9999,100,99,149,100,0.12,0.25
108,clear_knowledge,0.024,12345,100,99,149,100,0.088,0.27272727272727276
109,clear_knowledge,0.028,67890,100,99,149,100,0.082,0.3414634146341463
110,xxx,0.044,1111,100,99,149,100,0.1359999999999999,0.3235294117647061
111,xxx,0.026,2222,100,99,149,100,0.08,0.32499999999999996
112,xxx,0.024,4444,100,99,149,100,0.064,0.375
113,xxx,0.042,5555,100,99,149,100,0.126,0.33333333333333337
114,xxx,0.038,6666,100,99,149,100,0.08,0.475
115,xxx,0.026,7777,100,99,149,100,0.092,0.2826086956521739
116,xxx,0.022,8888,100,99,149,100,0.07,0.3142857142857142
117,xxx,0.03,9999,100,99,149,100,0.12,0.25
118,xxx,0.024,12345,100,99,149,100,0.088,0.27272727272727276
119,xxx,0.028,67890,100,99,149,100,0.082,0.3414634146341463
120,keep_knowledge,0.042,1111,100,104,154,100,0.07,0.6
121,keep_knowledge,0.024,2222,100,104,154,100,0.08,0.3
122,keep_knowledge,0.024,4444,100,104,154,100,0.12,0.2
123,keep_knowledge,0.03,5555,100,104,154,100,0.078,0.3846153846153846
124,keep_knowledge,0.038,6666,100,104,154,100,0.076,0.5
125,keep_knowledge,0.044,7777,100,104,154,100,0.084,0.5238095238095237
126,keep_knowledge,0.026,8888,100,104,154,100,0.076,0.34210526315789475
127,keep_knowledge,0.032,9999,100,104,154,100,0.086,0.372093023255814
128,keep_knowledge,0.028,12345,100,104,154,100,0.08,0.35
129,keep_knowledge,0.028,67890,100,104,154,100,0.116,0.24137931034482757
130,clear_knowledge,0.042,1111,100,104,154,100,0.07,0.6
131,clear_knowledge,0.024,2222,100,104,154,100,0.08,0.3
132,clear_knowledge,0.024,4444,100,104,154,100,0.12,0.2
133,clear_knowledge,0.03,5555,100,104,154,100,0.078,0.3846153846153846
134,clear_knowledge,0.038,6666,100,104,154,100,0.076,0.5
135,clear_knowledge,0.044,7777,100,104,154,100,0.084,0.5238095238095237
136,clear_knowledge,0.026,8888,100,104,154,100,0.076,0.34210526315789475
137,clear_knowledge,0.032,9999,100,104,154,100,0.086,0.372093023255814
138,clear_knowledge,0.028,12345,100,104,154,100,0.08,0.35
139,clear_knowledge,0.028,67890,100,104,154,100,0.116,0.24137931034482757
140,xxx,0.042,1111,100,104,154,100,0.07,0.6
141,xxx,0.024,2222,100,104,154,100,0.08,0.3
142,xxx,0.024,4444,100,104,154,100,0.12,0.2
143,xxx,0.03,5555,100,104,154,100,0.078,0.3846153846153846
144,xxx,0.038,6666,100,104,154,100,0.076,0.5
145,xxx,0.044,7777,100,104,154,100,0.084,0.5238095238095237
146,xxx,0.026,8888,100,104,154,100,0.076,0.34210526315789475
147,xxx,0.032,9999,100,104,154,100,0.086,0.372093023255814
148,xxx,0.028,12345,100,104,154,100,0.08,0.35
149,xxx,0.028,67890,100,104,154,100,0.116,0.24137931034482757
150,keep_knowledge,0.026,1111,100,159,209,100,0.1379999999999999,0.1884057971014494
