,compare,threshold,seed,human_seed,updates,utility
110,action_direct,0.8,6666.0,100,19,0.0841
111,action_direct,0.9,6666.0,100,14,0.0928
112,action_direct,0.1,,100,571,0.0087
113,action_direct,0.115,,100,571,0.0087
114,action_direct,0.13,,100,564,0.0092
115,action_direct,0.145,,100,475,0.0106
116,action_direct,0.16,,100,471,0.0108
117,action_direct,0.175,,100,467,0.0119
118,action_direct,0.19,,100,466,0.0123
119,action_direct,0.2,,100,350,0.0201
120,action_direct,0.205,,100,350,0.0201
121,action_direct,0.22,,100,347,0.0205
122,action_direct,0.235,,100,343,0.0209
123,action_direct,0.25,,100,343,0.0228
124,action_direct,0.265,,100,343,0.0228
125,action_direct,0.28,,100,243,0.023
126,action_direct,0.295,,100,241,0.0266999999999999
127,action_direct,0.3,,100,240,0.0271
128,action_direct,0.31,,100,240,0.0271
129,action_direct,0.325,,100,239,0.0272
130,action_direct,0.34,,100,176,0.03
131,action_direct,0.355,,100,176,0.0301999999999999
132,action_direct,0.37,,100,166,0.0292
133,action_direct,0.385,,100,165,0.0295999999999999
134,action_direct,0.4,,100,124,0.033
135,action_direct,0.5,,100,78,0.044
136,action_direct,0.6,,100,38,0.0598
137,action_direct,0.7,,100,22,0.0675
138,action_direct,0.8,,100,13,0.0775999999999999
139,action_direct,0.9,,100,6,0.0948
140,action_direct_v2,0.06,1111.0,100,141,0.0153
141,action_direct_v2,0.12,1111.0,100,74,0.0259
142,action_direct_v2,0.19,1111.0,100,45,0.0322
143,action_direct_v2,0.26,1111.0,100,29,0.045
144,action_direct_v2,0.32,1111.0,100,19,0.0618
145,action_direct_v2,0.39,1111.0,100,15,0.0755
146,action_direct_v2,0.46,1111.0,100,9,0.0848
147,action_direct_v2,0.52,1111.0,100,2,0.1295
148,action_direct_v2,0.59,1111.0,100,2,0.1295
149,action_direct_v2,0.66,1111.0,100,2,0.1244
150,action_direct_v2,0.72,1111.0,100,0,0.1238
151,action_direct_v2,0.79,1111.0,100,0,0.1238
152,action_direct_v2,0.86,1111.0,100,0,0.1238
153,action_direct_v2,0.92,1111.0,100,0,0.1238
154,action_direct_v2,0.99,1111.0,100,0,0.1238
155,action_direct_v2,0.06,2222.0,100,163,0.0143
156,action_direct_v2,0.12,2222.0,100,79,0.0254
157,action_direct_v2,0.19,2222.0,100,39,0.0429
158,action_direct_v2,0.26,2222.0,100,31,0.0552999999999999
159,action_direct_v2,0.32,2222.0,100,19,0.0748
160,action_direct_v2,0.39,2222.0,100,12,0.0790999999999999
161,action_direct_v2,0.46,2222.0,100,9,0.0864
162,action_direct_v2,0.52,2222.0,100,7,0.0946999999999999
163,action_direct_v2,0.59,2222.0,100,6,0.1048
164,action_direct_v2,0.66,2222.0,100,1,0.1089
165,action_direct_v2,0.72,2222.0,100,0,0.1104
166,action_direct_v2,0.79,2222.0,100,0,0.1104
167,action_direct_v2,0.86,2222.0,100,0,0.1104
168,action_direct_v2,0.92,2222.0,100,0,0.1104
169,action_direct_v2,0.99,2222.0,100,0,0.1104
170,action_direct_v2,0.06,5555.0,100,172,0.0195
171,action_direct_v2,0.12,5555.0,100,74,0.032
172,action_direct_v2,0.19,5555.0,100,45,0.0364
173,action_direct_v2,0.26,5555.0,100,33,0.06
174,action_direct_v2,0.32,5555.0,100,23,0.0684
175,action_direct_v2,0.39,5555.0,100,16,0.0792
176,action_direct_v2,0.46,5555.0,100,11,0.0977
177,action_direct_v2,0.52,5555.0,100,6,0.1034
178,action_direct_v2,0.59,5555.0,100,2,0.12
179,action_direct_v2,0.66,5555.0,100,2,0.1154
180,action_direct_v2,0.72,5555.0,100,2,0.1153
181,action_direct_v2,0.79,5555.0,100,2,0.1153
182,action_direct_v2,0.86,5555.0,100,1,0.1231
183,action_direct_v2,0.92,5555.0,100,0,0.1248
184,action_direct_v2,0.99,5555.0,100,0,0.1248
185,action_direct_v2,0.06,6666.0,100,175,0.0163
186,action_direct_v2,0.12,6666.0,100,86,0.0254
187,action_direct_v2,0.19,6666.0,100,47,0.0351
188,action_direct_v2,0.26,6666.0,100,31,0.0533
189,action_direct_v2,0.32,6666.0,100,21,0.0637
190,action_direct_v2,0.39,6666.0,100,17,0.0713
191,action_direct_v2,0.46,6666.0,100,12,0.0867
192,action_direct_v2,0.52,6666.0,100,8,0.1035
193,action_direct_v2,0.59,6666.0,100,3,0.1171
194,action_direct_v2,0.66,6666.0,100,2,0.1312
195,action_direct_v2,0.72,6666.0,100,1,0.1135
196,action_direct_v2,0.79,6666.0,100,1,0.1251
