,update_mode,utility,seed,human_seed,init_time,update_time,duration
0,xxx,0.10400000000000001,1111,60,6,56,100
1,xxx,0.09999999999999998,2222,60,6,56,100
2,xxx,0.102,4444,60,6,56,100
3,xxx,0.11999999999999994,5555,60,6,56,100
4,xxx,0.10400000000000001,6666,60,6,56,100
5,xxx,0.10599999999999998,7777,60,6,56,100
6,xxx,0.12599999999999997,8888,60,6,56,100
7,xxx,0.092,9999,60,6,56,100
8,xxx,0.122,12345,60,6,56,100
9,xxx,0.15199999999999997,67890,60,6,56,100
10,xxx,0.118,1111,60,44,94,100
11,xxx,0.09999999999999998,2222,60,44,94,100
12,xxx,0.118,4444,60,44,94,100
13,xxx,0.11800000000000002,5555,60,44,94,100
14,xxx,0.07800000000000004,6666,60,44,94,100
15,xxx,0.12199999999999997,7777,60,44,94,100
16,xxx,0.12599999999999995,8888,60,44,94,100
17,xxx,0.07200000000000002,9999,60,44,94,100
18,xxx,0.10200000000000004,12345,60,44,94,100
19,xxx,0.13799999999999998,67890,60,44,94,100
20,xxx,0.07400000000000002,1111,60,94,144,100
21,xxx,0.07400000000000002,2222,60,94,144,100
22,xxx,0.05600000000000002,4444,60,94,144,100
23,xxx,0.08000000000000003,5555,60,94,144,100
24,xxx,0.128,6666,60,94,144,100
25,xxx,0.10399999999999995,7777,60,94,144,100
26,xxx,0.10600000000000007,8888,60,94,144,100
27,xxx,0.05200000000000002,9999,60,94,144,100
28,xxx,0.06400000000000003,12345,60,94,144,100
29,xxx,0.06800000000000003,67890,60,94,144,100
30,xxx,0.08600000000000003,1111,60,99,149,100
31,xxx,0.08000000000000003,2222,60,99,149,100
32,xxx,0.09800000000000005,4444,60,99,149,100
33,xxx,0.07800000000000003,5555,60,99,149,100
34,xxx,0.11399999999999995,6666,60,99,149,100
35,xxx,0.13599999999999998,7777,60,99,149,100
36,xxx,0.12400000000000005,8888,60,99,149,100
37,xxx,0.07000000000000003,9999,60,99,149,100
38,xxx,0.08800000000000004,12345,60,99,149,100
39,xxx,0.13000000000000003,67890,60,99,149,100
40,xxx,0.10000000000000005,1111,60,104,154,100
41,xxx,0.10600000000000005,2222,60,104,154,100
42,xxx,0.114,4444,60,104,154,100
43,xxx,0.06600000000000003,5555,60,104,154,100
44,xxx,0.10400000000000005,6666,60,104,154,100
45,xxx,0.11800000000000002,7777,60,104,154,100
46,xxx,0.09400000000000006,8888,60,104,154,100
47,xxx,0.08400000000000002,9999,60,104,154,100
48,xxx,0.08000000000000003,12345,60,104,154,100
49,xxx,0.04000000000000001,67890,60,104,154,100
50,xxx,0.10200000000000001,1111,60,159,209,100
51,xxx,0.10400000000000002,2222,60,159,209,100
52,xxx,0.06400000000000002,4444,60,159,209,100
53,xxx,0.06600000000000002,5555,60,159,209,100
54,xxx,0.11400000000000002,6666,60,159,209,100
55,xxx,0.05800000000000002,7777,60,159,209,100
56,xxx,0.088,8888,60,159,209,100
57,xxx,0.07000000000000003,9999,60,159,209,100
58,xxx,0.08000000000000003,12345,60,159,209,100
59,xxx,0.10399999999999997,67890,60,159,209,100
60,xxx,0.11200000000000003,1111,60,163,213,100
61,xxx,0.07400000000000004,2222,60,163,213,100
62,xxx,0.06000000000000003,4444,60,163,213,100
63,xxx,0.08400000000000002,5555,60,163,213,100
64,xxx,0.11200000000000002,6666,60,163,213,100
65,xxx,0.07400000000000004,7777,60,163,213,100
66,xxx,0.08600000000000002,8888,60,163,213,100
67,xxx,0.08800000000000001,9999,60,163,213,100
68,xxx,0.07800000000000003,12345,60,163,213,100
69,xxx,0.10799999999999998,67890,60,163,213,100
70,xxx,0.08400000000000002,1111,60,220,270,100
71,xxx,0.05200000000000002,2222,60,220,270,100
72,xxx,0.04400000000000001,4444,60,220,270,100
73,xxx,0.13999999999999987,5555,60,220,270,100
74,xxx,0.11399999999999995,6666,60,220,270,100
75,xxx,0.07800000000000003,7777,60,220,270,100
76,xxx,0.07600000000000003,8888,60,220,270,100
77,xxx,0.03400000000000001,9999,60,220,270,100
78,xxx,0.10599999999999996,12345,60,220,270,100
79,xxx,0.10799999999999996,67890,60,220,270,100
80,xxx,0.10800000000000003,1111,60,225,275,100
81,xxx,0.06200000000000002,2222,60,225,275,100
82,xxx,0.07200000000000004,4444,60,225,275,100
83,xxx,0.08600000000000003,5555,60,225,275,100
84,xxx,0.134,6666,60,225,275,100
85,xxx,0.07800000000000003,7777,60,225,275,100
86,xxx,0.05400000000000002,8888,60,225,275,100
87,xxx,0.07000000000000002,9999,60,225,275,100
88,xxx,0.08800000000000004,12345,60,225,275,100
89,xxx,0.09999999999999998,67890,60,225,275,100
90,xxx,0.13399999999999998,1111,60,270,320,100
91,xxx,0.15000000000000005,2222,60,270,320,100
92,xxx,0.176,4444,60,270,320,100
93,xxx,0.14800000000000008,5555,60,270,320,100
94,xxx,0.14400000000000004,6666,60,270,320,100
95,xxx,0.158,7777,60,270,320,100
96,xxx,0.13799999999999998,8888,60,270,320,100
97,xxx,0.156,9999,60,270,320,100
98,xxx,0.13000000000000003,12345,60,270,320,100
99,xxx,0.13199999999999998,67890,60,270,320,100
100,xxx,0.15599999999999994,1111,60,284,334,100
101,xxx,0.15800000000000003,2222,60,284,334,100
102,xxx,0.16199999999999995,4444,60,284,334,100
103,xxx,0.17999999999999997,5555,60,284,334,100
104,xxx,0.18,6666,60,284,334,100
