,update_mode,utility,seed,human_seed,init_time,update_time,duration
0,keep_knowledge,0.036000000000000004,1111,100,6,56,100
1,keep_knowledge,0.07200000000000004,2222,100,6,56,100
2,keep_knowledge,0.05200000000000002,4444,100,6,56,100
3,keep_knowledge,0.052000000000000025,5555,100,6,56,100
4,keep_knowledge,0.06400000000000003,6666,100,6,56,100
5,keep_knowledge,0.09000000000000004,7777,100,6,56,100
6,keep_knowledge,0.06600000000000002,8888,100,6,56,100
7,keep_knowledge,0.04000000000000001,9999,100,6,56,100
8,keep_knowledge,0.06000000000000002,12345,100,6,56,100
9,keep_knowledge,0.06600000000000003,67890,100,6,56,100
10,clear_knowledge,0.08200000000000003,1111,100,6,56,100
11,clear_knowledge,0.060000000000000026,2222,100,6,56,100
12,clear_knowledge,0.03200000000000001,4444,100,6,56,100
13,clear_knowledge,0.052000000000000025,5555,100,6,56,100
14,clear_knowledge,0.10599999999999993,6666,100,6,56,100
15,clear_knowledge,0.04800000000000002,7777,100,6,56,100
16,clear_knowledge,0.12599999999999997,8888,100,6,56,100
17,clear_knowledge,0.040000000000000015,9999,100,6,56,100
18,clear_knowledge,0.14799999999999996,12345,100,6,56,100
19,clear_knowledge,0.04200000000000001,67890,100,6,56,100
20,xxx,0.036000000000000004,1111,100,6,56,100
21,xxx,0.06200000000000003,2222,100,6,56,100
22,xxx,0.03200000000000001,4444,100,6,56,100
23,xxx,0.052000000000000025,5555,100,6,56,100
24,xxx,0.05200000000000001,6666,100,6,56,100
25,xxx,0.04800000000000002,7777,100,6,56,100
26,xxx,0.06800000000000002,8888,100,6,56,100
27,xxx,0.040000000000000015,9999,100,6,56,100
28,xxx,0.05600000000000002,12345,100,6,56,100
29,xxx,0.04200000000000001,67890,100,6,56,100
30,keep_knowledge,0.158,1111,100,44,94,100
31,keep_knowledge,0.10199999999999998,2222,100,44,94,100
32,keep_knowledge,0.05800000000000002,4444,100,44,94,100
33,keep_knowledge,0.16600000000000004,5555,100,44,94,100
34,keep_knowledge,0.16200000000000003,6666,100,44,94,100
35,keep_knowledge,0.14800000000000002,7777,100,44,94,100
36,keep_knowledge,0.18800000000000008,8888,100,44,94,100
37,keep_knowledge,0.15599999999999997,9999,100,44,94,100
38,keep_knowledge,0.16200000000000003,12345,100,44,94,100
