,compare,threshold,seed,human_seed,updates,utility
0,interaction,500,3333,100,0,0.21849996600000032
1,interaction,500,3333,200,0,0.2257499700000002
2,interaction,500,3333,300,0,0.22816664100000006
3,interaction,500,3333,400,0,0.20766662500000016
4,interaction,500,3333,500,0,0.19633330800000015
5,interaction,500,3333,600,0,0.20516664100000007
6,interaction,500,3333,700,0,0.21041663200000016
7,interaction,500,3333,800,0,0.22366665000000024
8,interaction,500,3333,900,0,0.22141665000000013
9,interaction,500,3333,1000,0,0.22974998399999982
