,update_mode,utility,seed,human_seed,init_time,update_time,duration,utility_max,utility_scaled
0,keep_knowledge,0.086,1111,100,6,56,100,0.104,0.8269230769230769
1,keep_knowledge,0.06,2222,100,6,56,100,0.0999999999999999,0.6000000000000006
2,keep_knowledge,0.082,4444,100,6,56,100,0.102,0.803921568627451
3,keep_knowledge,0.0959999999999999,5555,100,6,56,100,0.1199999999999999,0.7999999999999999
4,keep_knowledge,0.076,6666,100,6,56,100,0.104,0.7307692307692308
5,clear_knowledge,0.052,1111,100,6,56,100,0.104,0.5
6,clear_knowledge,0.0999999999999999,2222,100,6,56,100,0.0999999999999999,1.0
7,clear_knowledge,0.088,4444,100,6,56,100,0.102,0.8627450980392157
8,clear_knowledge,0.1039999999999999,5555,100,6,56,100,0.1199999999999999,0.8666666666666666
9,clear_knowledge,0.08,6666,100,6,56,100,0.104,0.7692307692307693
10,xxx,0.062,1111,100,6,56,100,0.104,0.5961538461538461
11,xxx,0.068,2222,100,6,56,100,0.0999999999999999,0.6800000000000007
12,xxx,0.1,4444,100,6,56,100,0.102,0.9803921568627452
13,xxx,0.1039999999999999,5555,100,6,56,100,0.1199999999999999,0.8666666666666666
14,xxx,0.062,6666,100,6,56,100,0.104,0.5961538461538461
15,keep_knowledge,0.042,1111,100,44,94,100,0.118,0.35593220338983056
16,keep_knowledge,0.076,2222,100,44,94,100,0.0999999999999999,0.7600000000000008
17,keep_knowledge,0.044,4444,100,44,94,100,0.118,0.3728813559322034
18,keep_knowledge,0.042,5555,100,44,94,100,0.118,0.35593220338983056
19,keep_knowledge,0.054,6666,100,44,94,100,0.078,0.6923076923076923
20,clear_knowledge,0.058,1111,100,44,94,100,0.118,0.49152542372881364
21,clear_knowledge,0.074,2222,100,44,94,100,0.0999999999999999,0.7400000000000008
22,clear_knowledge,0.038,4444,100,44,94,100,0.118,0.3220338983050848
23,clear_knowledge,0.06,5555,100,44,94,100,0.118,0.5084745762711864
24,clear_knowledge,0.052,6666,100,44,94,100,0.078,0.6666666666666666
25,xxx,0.06,1111,100,44,94,100,0.118,0.5084745762711864
26,xxx,0.076,2222,100,44,94,100,0.0999999999999999,0.7600000000000008
27,xxx,0.036,4444,100,44,94,100,0.118,0.3050847457627119
28,xxx,0.054,5555,100,44,94,100,0.118,0.4576271186440678
29,xxx,0.054,6666,100,44,94,100,0.078,0.6923076923076923
30,keep_knowledge,0.144,1111,100,94,144,100,0.074,1.9459459459459458
31,keep_knowledge,0.058,2222,100,94,144,100,0.074,0.7837837837837839
32,keep_knowledge,0.05,4444,100,94,144,100,0.056,0.8928571428571429
33,keep_knowledge,0.1099999999999999,5555,100,94,144,100,0.08,1.3749999999999987
34,keep_knowledge,0.1639999999999999,6666,100,94,144,100,0.128,1.2812499999999991
35,clear_knowledge,0.144,1111,100,94,144,100,0.074,1.9459459459459458
36,clear_knowledge,0.07,2222,100,94,144,100,0.074,0.945945945945946
37,clear_knowledge,0.052,4444,100,94,144,100,0.056,0.9285714285714285
38,clear_knowledge,0.1099999999999999,5555,100,94,144,100,0.08,1.3749999999999987
39,clear_knowledge,0.162,6666,100,94,144,100,0.128,1.265625
40,xxx,0.1239999999999999,1111,100,94,144,100,0.074,1.6756756756756743
41,xxx,0.042,2222,100,94,144,100,0.074,0.5675675675675677
42,xxx,0.042,4444,100,94,144,100,0.056,0.75
43,xxx,0.052,5555,100,94,144,100,0.08,0.6499999999999999
44,xxx,0.138,6666,100,94,144,100,0.128,1.078125
45,keep_knowledge,0.1439999999999999,1111,100,99,149,100,0.086,1.6744186046511618
46,keep_knowledge,0.052,2222,100,99,149,100,0.08,0.6499999999999999
47,keep_knowledge,0.038,4444,100,99,149,100,0.098,0.3877551020408163
48,keep_knowledge,0.1039999999999999,5555,100,99,149,100,0.078,1.333333333333332
49,keep_knowledge,0.1719999999999999,6666,100,99,149,100,0.1139999999999999,1.5087719298245619
50,clear_knowledge,0.1479999999999999,1111,100,99,149,100,0.086,1.7209302325581386
51,clear_knowledge,0.042,2222,100,99,149,100,0.08,0.525
52,clear_knowledge,0.064,4444,100,99,149,100,0.098,0.6530612244897959
53,clear_knowledge,0.048,5555,100,99,149,100,0.078,0.6153846153846154
54,clear_knowledge,0.1639999999999999,6666,100,99,149,100,0.1139999999999999,1.4385964912280707
55,xxx,0.1459999999999999,1111,100,99,149,100,0.086,1.6976744186046502
56,xxx,0.042,2222,100,99,149,100,0.08,0.525
57,xxx,0.044,4444,100,99,149,100,0.098,0.44897959183673464
58,xxx,0.066,5555,100,99,149,100,0.078,0.8461538461538461
59,xxx,0.162,6666,100,99,149,100,0.1139999999999999,1.4210526315789487
60,keep_knowledge,0.1779999999999999,1111,100,104,154,100,0.1,1.779999999999999
61,keep_knowledge,0.046,2222,100,104,154,100,0.106,0.4339622641509434
62,keep_knowledge,0.08,4444,100,104,154,100,0.114,0.7017543859649122
63,keep_knowledge,0.098,5555,100,104,154,100,0.066,1.4848484848484849
64,keep_knowledge,0.1819999999999999,6666,100,104,154,100,0.104,1.7499999999999993
65,clear_knowledge,0.168,1111,100,104,154,100,0.1,1.68
66,clear_knowledge,0.048,2222,100,104,154,100,0.106,0.4528301886792453
67,clear_knowledge,0.092,4444,100,104,154,100,0.114,0.8070175438596491
68,clear_knowledge,0.092,5555,100,104,154,100,0.066,1.3939393939393938
69,clear_knowledge,0.1819999999999999,6666,100,104,154,100,0.104,1.7499999999999993
70,xxx,0.1779999999999999,1111,100,104,154,100,0.1,1.779999999999999
71,xxx,0.046,2222,100,104,154,100,0.106,0.4339622641509434
72,xxx,0.08,4444,100,104,154,100,0.114,0.7017543859649122
73,xxx,0.098,5555,100,104,154,100,0.066,1.4848484848484849
74,xxx,0.1819999999999999,6666,100,104,154,100,0.104,1.7499999999999993
75,keep_knowledge,0.03,1111,100,159,209,100,0.102,0.29411764705882354
76,keep_knowledge,0.05,2222,100,159,209,100,0.104,0.48076923076923084
77,keep_knowledge,0.034,4444,100,159,209,100,0.064,0.53125
78,keep_knowledge,0.034,5555,100,159,209,100,0.066,0.5151515151515151
79,keep_knowledge,0.028,6666,100,159,209,100,0.114,0.24561403508771928
80,clear_knowledge,0.03,1111,100,159,209,100,0.102,0.29411764705882354
81,clear_knowledge,0.04,2222,100,159,209,100,0.104,0.38461538461538464
82,clear_knowledge,0.04,4444,100,159,209,100,0.064,0.625
83,clear_knowledge,0.034,5555,100,159,209,100,0.066,0.5151515151515151
84,clear_knowledge,0.026,6666,100,159,209,100,0.114,0.22807017543859648
85,xxx,0.04,1111,100,159,209,100,0.102,0.3921568627450981
86,xxx,0.044,2222,100,159,209,100,0.104,0.4230769230769231
87,xxx,0.04,4444,100,159,209,100,0.064,0.625
88,xxx,0.036,5555,100,159,209,100,0.066,0.5454545454545454
89,xxx,0.038,6666,100,159,209,100,0.114,0.3333333333333333
90,keep_knowledge,0.064,1111,100,163,213,100,0.112,0.5714285714285714
