,compare,frequency,seed,human_seed,updates,utility,position
0,position,5,1111,100,199,0.0050999999999999,1.5473303209999991
1,position,10,1111,100,99,0.0122999999999999,2.8012990630000005
2,position,20,1111,100,49,0.0311000000000001,6.500522872000006
3,position,30,1111,100,33,0.0318000000000001,8.159317093999995
4,position,40,1111,100,24,0.0412000000000002,11.623920147000002
5,position,50,1111,100,19,0.0529000000000004,16.49891332100003
6,position,60,1111,100,16,0.0581000000000004,20.778447573999998
7,position,100,1111,100,9,0.0761000000000002,29.994012327000004
8,position,5,2222,100,199,0.0063999999999999,1.496051707999997
9,position,10,2222,100,99,0.0116999999999999,2.8261535080000004
10,position,20,2222,100,49,0.0279,6.297430969000005
11,position,30,2222,100,33,0.0281,8.145663882000003
12,position,40,2222,100,24,0.0414000000000002,12.07569534700002
13,position,50,2222,100,19,0.0507000000000003,16.054402460000023
14,position,60,2222,100,16,0.0565000000000004,19.55506697400001
15,position,100,2222,100,9,0.0784000000000002,29.53733044299998
16,position,5,4444,100,199,0.0059999999999999,1.4520365709999985
17,position,10,4444,100,99,0.0113999999999999,2.730738885000001
18,position,20,4444,100,49,0.0246,6.111337048999999
19,position,30,4444,100,33,0.0272,8.075958455999999
20,position,40,4444,100,24,0.0379000000000002,13.21743486
21,position,50,4444,100,19,0.0442000000000002,14.895119545000028
22,position,60,4444,100,16,0.0474000000000002,18.987470063000007
23,position,100,4444,100,9,0.0652000000000004,29.13716795000003
24,position,5,5555,100,199,0.0057999999999999,1.6619773069999997
25,position,10,5555,100,99,0.0125999999999999,3.2377842059999997
26,position,20,5555,100,49,0.0255,7.117983590999996
27,position,30,5555,100,33,0.0301000000000001,10.133815695
28,position,40,5555,100,24,0.0390000000000001,13.788740827000026
29,position,50,5555,100,19,0.0503000000000003,17.15430853800002
30,position,60,5555,100,16,0.0597000000000003,22.69880712600001
31,position,100,5555,100,9,0.0710000000000003,31.105298156999982
32,position,5,6666,100,199,0.0055999999999999,1.604592052999999
33,position,10,6666,100,99,0.0130999999999999,3.071826914000002
34,position,20,6666,100,49,0.0295,6.524547085000001
35,position,30,6666,100,33,0.0326000000000001,9.283416837000008
36,position,40,6666,100,24,0.0426000000000002,13.009235775999986
37,position,50,6666,100,19,0.0521000000000004,17.761668550999993
38,position,60,6666,100,16,0.0616000000000004,22.97774672400001
39,position,100,6666,100,9,0.0745000000000003,31.82489937899998
40,position,5,7777,100,199,0.0059999999999999,1.548898111999998
41,position,10,7777,100,99,0.0113999999999999,2.9320000890000046
42,position,20,7777,100,49,0.0231,6.226721318000007
43,position,30,7777,100,33,0.0316000000000001,9.23379002799999
44,position,40,7777,100,24,0.0384000000000002,11.919889184000006
45,position,50,7777,100,19,0.0506000000000004,15.900053209000006
46,position,60,7777,100,16,0.0593000000000004,21.17860239099999
47,position,100,7777,100,9,0.0691000000000003,30.27101025999998
48,position,5,8888,100,199,0.0049999999999999,0.9927506240000004
49,position,10,8888,100,99,0.0107999999999999,1.8411451780000008
50,position,20,8888,100,49,0.0244,4.455545608000004
51,position,30,8888,100,33,0.0277,6.451536462000004
52,position,40,8888,100,24,0.0402000000000002,10.64007878999999
53,position,50,8888,100,19,0.0553000000000004,14.752060944000029
54,position,60,8888,100,16,0.0596000000000004,18.897172553999983
55,position,100,8888,100,9,0.0754000000000001,31.46859191700003
56,position,5,9999,100,199,0.0058999999999999,1.4372761279999977
57,position,10,9999,100,99,0.0133999999999999,2.7080762820000035
58,position,20,9999,100,49,0.0272,5.969396254
59,position,30,9999,100,33,0.0303000000000001,9.064428392000009
60,position,40,9999,100,24,0.0387000000000001,12.389894490000003
61,position,50,9999,100,19,0.0480000000000003,15.404472745999998
62,position,60,9999,100,16,0.0602000000000003,21.235602693999997
63,position,100,9999,100,9,0.076,30.077032922000026
64,position,5,12345,100,199,0.0061999999999999,1.4783354869999978
65,position,10,12345,100,99,0.0116999999999999,2.6143764410000045
66,position,20,12345,100,49,0.0289,6.408941764999996
67,position,30,12345,100,33,0.0371000000000001,8.313174857999993
68,position,40,12345,100,24,0.0448000000000002,12.759954187000002
69,position,50,12345,100,19,0.0549000000000004,16.472204934000022
70,position,60,12345,100,16,0.0670000000000002,20.648691808999985
71,position,100,12345,100,9,0.0721000000000002,32.203907949000026
72,position,5,67890,100,199,0.0059999999999999,1.5958314260000002
73,position,10,67890,100,99,0.0113999999999999,3.002354977000001
74,position,20,67890,100,49,0.0254,6.812610871999989
75,position,30,67890,100,33,0.0286,9.337925688000002
76,position,40,67890,100,24,0.0384000000000001,14.61915974200002
77,position,50,67890,100,19,0.0484000000000003,16.63285422400003
78,position,60,67890,100,16,0.0540000000000004,21.549334395000013
79,position,100,67890,100,9,0.0785999999999999,33.07543307299999
80,s_s,5,1111,100,199,0.0066999999999999,2.4911135059999983
81,s_s,10,1111,100,99,0.0154999999999999,5.009405851000004
82,s_s,20,1111,100,49,0.0378000000000001,9.689573996999998
83,s_s,30,1111,100,33,0.0435000000000002,15.685082264999997
84,s_s,40,1111,100,24,0.0491000000000003,16.927973161
85,s_s,60,1111,100,16,0.0640000000000004,27.52826257199999
86,s_s,100,1111,100,9,0.0847999999999998,36.453574610000025
87,s_s,5,2222,100,199,0.0079999999999999,2.672802217000001
88,s_s,10,2222,100,99,0.0157999999999999,5.572384023999999
89,s_s,20,2222,100,49,0.0356000000000001,10.213725646000002
90,s_s,30,2222,100,33,0.0455000000000002,16.66517164300001
91,s_s,40,2222,100,24,0.0506000000000003,18.862400383999965
92,s_s,60,2222,100,16,0.0719,27.91211593500002
93,s_s,100,2222,100,9,0.0942999999999996,35.12515363900003
